title,description,source,date_of_publication,category,author,link
Zoom And Deloitte Scale Back Employee Benefits In Move That Could Signal Broader Workplace Shift,"Employees at two major companies are seeing changes to their benefits as the technology and professional services industries adjust their compensation strategies. Zoom has reduced its paid parental leave this year, offering 18 weeks for birthing parents — down from 22 to 24 weeks — and 10 weeks for non-birthing parents, down from 16, Business… Continue reading Zoom And Deloitte Scale Back Employee Benefits In Move That Could Signal Broader Workplace Shift",afrotech.com,2026-04-24,Business,,https://afrotech.com/zoom-deloitte-scale-back-employee-benefits-workforce
How Jamie Adenuga Made Millions In Net Worth With Ringtone Raps And Family Ties,"If you’re a fan of the UK rap scene, you may already be familiar with the artist Jamie Adenuga, AKA JME. The rapper, best known for co-founding the label Boy Better Know, has risen to prominence over the years thanks to his innovative sound, creative spark and influence in UK grime. JME was previously a… Continue reading How Jamie Adenuga Made Millions In Net Worth With Ringtone Raps And Family Ties",afrotech.com,2026-04-23,Entertainment,,https://afrotech.com/jamie-adenuga-net-worth
Florida Gov. Ron DeSantis Signs Bill Eliminating DEI Programs In Local Governments And Establishing Penalties For Violations,"Florida Governor Ron DeSantis has signed a bill that will impact diversity, equity, and inclusion (DEI) efforts in the state. According to a news release, DeSantis signed two pieces of legislation on Wednesday, April 22. One specifically targets DEI efforts. SB 1134 is a bill that bars counties and municipalities from funding, promoting, or establishing… Continue reading Florida Gov. Ron DeSantis Signs Bill Eliminating DEI Programs In Local Governments And Establishing Penalties For Violations",afrotech.com,2026-04-23,Business,,https://afrotech.com/florida-gov-ron-desantis-signs-bill-eliminating-dei-programs
House Bill 3416 Proposes Allocation Of Gambling Proceeds In Missouri To Support State’s HBCUs,"A bill has been proposed to find new ways to support Missouri’s Historically Black Colleges and Universities (HBCUs). According to the News Tribune, the Missouri House Higher Education and Workforce Development Committee held a discussion on House Bill 3416 in early April. The legislation proposes funding for Lincoln University and Harris-Stowe State University and would… Continue reading House Bill 3416 Proposes Allocation Of Gambling Proceeds In Missouri To Support State’s HBCUs",afrotech.com,2026-04-23,Education,,https://afrotech.com/house-bill-3416-gambling-proceeds-in-missouri-to-support-state-hbcus
"Taylor Rooks Foundation And Undue Medical Debt Erase $2.1M In Medical Debt For Gwinnett County, GA, Residents","Taylor Rooks is helping people in her hometown erase medical debt. Foundation As AFROTECH™ previously reported, the Emmy Award-nominated journalist and producer launched the Taylor Rooks Foundation in 2025 to empower Black families in education, health, and opportunity regardless of “zip code, background, or bank account.” Its three pillars of focus are reach (educational resources,… Continue reading Taylor Rooks Foundation And Undue Medical Debt Erase $2.1M In Medical Debt For Gwinnett County,…",afrotech.com,2026-04-23,Business,,https://afrotech.com/taylor-rooks-foundation-and-undue-medical-debt-erase-2-1m-in-medical-debt-for-gwinnett-county-ga-residents
"Dr. Bombay Ice Cream, A Brand Co-Founded By Snoop Dogg, Cordell Broadus, And Now Lil Baby, Opens First Storefront","Celebrity-backed Dr. Bombay Ice Cream continues to reach new heights. As AFROTECH™ previously reported, the Hip-Hop-style ice cream brand was co-founded in 2023 by Snoop Dogg and his son Cordell Broadus (chief marketing officer). Thanks to the brand’s inaugural seven flavors: Strawberry Cream Dream, Baked Blueberry Muffin, Tropical Sherbet Swizzle, Peanut Butter Jelly Time, Iced… Continue reading Dr.",afrotech.com,2026-04-23,Business,,https://afrotech.com/snoop-dogg-grand-opening-of-ice-cream-storefront-venice-beach
Married Couple In Tulsa Expands Wireless Company With A Give-Back Model For Education Nonprofits And More,"This Oklahoma couple is behind Love Mobile, The Cellphone Company That Gives Back®. Koddi Dunn and Wade Dunn Jr. have joined forces in business, bringing experience in their respective fields. Koddi has worked across the marketing, media, telecommunications, and nonprofit sectors and has assisted companies such as Meta, Greenwood, Coinbase, and Google through both contract… Continue reading Married Couple In Tulsa Expands Wireless Company With A Give-Back Model For Education Nonprofits And More",afrotech.com,2026-04-23,Technology,,https://afrotech.com/tulsa-couple-launches-wireless-company-with-a-give-back-model
"Emma Grede Explains Why She Turned Down Investing In Ami Colé At The Start, But Decided To Hire Its Founder Diarrha N’Diaye At SKIMS","Emma Grede has weighed in on the criticism surrounding Diarrha N’Diaye’s role at SKIMS. Ami Colé N’Diaye is the founder of beloved clean beauty brand Ami Colé, created for melanin-rich skin. On July 17, 2025, four years after its inception, she announced in an Instagram post that she was winding down the company. She shared… Continue reading Emma Grede Explains Why She Turned Down Investing In Ami Colé At The Start, But Decided To Hire Its Founder Diarrha N’Diaye At SKIMS",afrotech.com,2026-04-22,Career,,https://afrotech.com/emma-grede-addresses-criticism-surrounding-hiring-of-diarrha-ndiaye-skims-beauty
J.R. Smith Is Set To Obtain Bachelor’s Degree From North Carolina A&T,"Former NBA player J.R. Smith can soon celebrate earning a bachelor’s degree. As AFROTECH™ previously reported, the two-time NBA champion, who retired from the league in 2020 and played his last season with the Los Angeles Lakers, enrolled at North Carolina Agricultural and Technical State University (North Carolina A&T) in 2021. In doing so, he… Continue reading J.R. Smith Is Set To Obtain Bachelor’s Degree From North Carolina AT",afrotech.com,2026-04-22,Education,,https://afrotech.com/jr-smith-is-set-to-obtain-degree
"Alexa Christina Rice Is Carrying The Torch Of Her Late Grandmother, Eunice Johnson, Whose Beauty Brand Was Auctioned Off In 2019","Entrepreneurship is generational for founder Alexa Christina Rice. Her grandmother, Eunice Walker Johnson, was married to John H. Johnson, who took a $500 loan, with his mother’s furniture as collateral, to launch Johnson Publishing Co. (JPC) in Chicago, per the company. The venture’s portfolio included Ebony and Jet magazines, which drew in millions of readers… Continue reading Alexa Christina Rice Is Carrying The Torch Of Her Late Grandmother, Eunice Johnson, Whose Beauty Brand Was Auctioned O…",afrotech.com,2026-04-22,Business,,https://afrotech.com/alexa-christina-beech-beauty
